Playbook
"p211; ['OrganizationMapping', 'OperationalActivityMapping', 'AccessModeling']"
"p212; ['OperationalActivityMapping', 'AccessModeling', 'OrganizationMapping']"
"p213; ['c:AdditionalTask']"
"p214; ['UserBehaviorAnalysis', 'AuthenticationEventThresholding', 'AuthorizationEventThresholding', 'LocalAccountMonitoring', 'AccountLocking', 'CredentialEviction']"
"p215; ['FileEviction', 'ObjectEviction']"
"p216; ['NetworkTrafficAnalysis', 'c:NotifyingTask']"
"p217; ['c:AdditionalTask']"
"p218; ['c:AdditionalTask']"
"p21; ['BroadcastDomainIsolation', 'NetworkIsolation', 'NetworkTrafficFiltering']"
"p220; ['c:AdditionalTask', 'c:IncidentScoring']"
"p221; ['c:AdditionalTask']"
"p222; ['AssetVulnerabilityEnumeration', 'AssetInventory']"
"p223; ['c:AdditionalTask']"
"p224; ['RestoreUserAccountAccess', 'RestoreAccess', 'AccountLocking', 'CredentialEviction','AuthenticationCacheInvalidation']"
"p225; ['c:IncidentScoring', 'c:IncidentHandlingManagement', 'DecoyObject', 'DecoyEnvironment']"
"p226; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'IdentifierActivityAnalysis', 'ProcessTermination', 'ProcessEviction', 'HostShutdown', 'ExecutableDenylisting', 'ExecutionIsolation', 'FileHashing', 'FileAnalysis', 'NetworkIsolation', 'BroadcastDomainIsolation']"
"p227; ['ResourceAccessPatternAnalysis', 'UserBehaviorAnalysis', 'ObjectEviction', 'FileEviction', 'ExecutionIsolation', 'ExecutableDenylisting' ]"
"p228; ['c:AdditionalTask']"
"p22; ['RestoreAccess', 'RestoreNetworkAccess']"
"p230; ['AssetInventory', 'AssetVulnerabilityEnumeration']"
"p231; ['c:AdditionalTask']"
"p232; ['IdentifierActivityAnalysis', 'IdentifierAnalysis', 'IdentifierReputationAnalysis', 'NetworkTrafficAnalysis']"
"p233; ['PlatformHardening', 'c:Compliance']"
"p234; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p235; ['c:CTI_Input', 'CredentialRevocation', 'CredentialEviction', 'CredentialRotation', 'CredentialHardening']"
"p236; ['c:IncidentHandlingManagement']"
"p237; ['AuthenticationEventThresholding', 'UserBehaviorAnalysis']"
"p238; ['AssetInventory', 'DataInventory', 'NetworkNodeInventory']"
"p23; ['RestoreNetworkAccess', 'RestoreAccess']"
"p240; ['c:AdditionalTask']"
"p241; ['AuthenticationEventThresholding', 'UserBehaviorAnalysis']"
"p242; ['SystemVulnerabilityAssessment', 'OperationalRiskAssessment', 'SystemMapping', 'OperationalActivityMapping']"
"p243; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'NetworkTrafficFiltering', 'NetworkIsolation']"
"p244; ['c:AdditionalTask']"
"p245; ['c:NotifyingTask', 'IdentifierReputationAnalysis', 'IdentifierAnalysis', 'NetworkIsolation']"
"p246; ['c:CTI_Input']"
"p247; ['LocalAccountMonitoring', 'UserBehaviorAnalysis', 'AccountLocking', 'CredentialEviction']"
"p248; ['AccessModeling', 'OperationalActivityMapping', 'CredentialHardening', 'UserAccountPermissions']"
"p24; ['NetworkIsolation', 'NetworkTrafficFiltering', 'BroadcastDomainIsolation']"
"p250; ['NetworkIsolation', 'NetworkTrafficFiltering', 'ExecutionIsolation', 'IdentifierReputationAnalysis', 'IdentifierAnalysis', 'IdentifierActivityAnalysis', 'c:CTI_Input']"
"p251; ['OperatingSystemMonitoring', 'PlatformMonitoring', 'NetworkTrafficAnalysis', 'AdministrativeNetworkActivityAnalysis']"
"p252; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p253; ['c:AdditionalTask']"
"p254; ['AssetVulnerabilityEnumeration', 'AssetInventory', 'RestoreDiskImage', 'RestoreConfiguration', 'RestoreObject']"
"p255; ['NetworkTrafficFiltering', 'NetworkIsolation', 'UserAccountPermissions', 'CredentialHardening', 'BroadcastDomainIsolation', 'NetworkIsolation']"
"p256; ['c:NotifyingTask', 'IdentifierAnalysis', 'IdentifierReputationAnalysis', 'IdentifierActivityAnalysis']"
"p257; ['UserAccountPermissions', 'CredentialHardening', 'BroadcastDomainIsolation', 'NetworkTrafficFiltering', 'NetworkIsolation', 'CredentialRotation', 'CredentialHardening']"
"p258; ['c:AdditionalTask']"
"p25; ['BroadcastDomainIsolation', 'NetworkIsolation', 'NetworkTrafficFiltering']"
"p260; ['c:AdditionalTask']"
"p261; ['c:AdditionalTask']"
"p262; ['c:AdditionalTask']"
"p263; ['c:AdditionalTask']"
"p264; ['c:AdditionalTask']"
"p265; ['c:AdditionalTask']"
"p266; ['c:AdditionalTask']"
"p267; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'c:CTI_Input']"
"p268; ['c:AdditionalTask']"
"p26; ['NetworkTrafficFiltering', 'NetworkIsolation']"
"p270; ['c:AdditionalTask', 'c:NotifyingTask']"
"p271; ['c:AdditionalTask']"
"p272; ['URLAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p273; ['AccountLocking', 'CredentialEviction']"
"p274; ['ObjectEviction', 'FileEviction']"
"p275; ['c:AdditionalTask']"
"p276; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'NetworkTrafficFiltering', 'NetworkTrafficAnalysis', 'NetworkIsolation']"
"p277; ['c:IncidentHandlingManagement']"
"p278; ['c:IncidentHandlingManagement']"
"p27; ['NetworkIsolation', 'NetworkTrafficFiltering']"
"p280; ['MessageHardening', 'MessageAuthentication']"
"p281; ['c:AdditionalTask']"
"p282; ['ExecutionIsolation', 'NetworkIsolation', 'RestoreAccess', 'RestoreNetworkAccess', 'BroadcastDomainIsolation', 'IdentifierAnalysis', 'IdentifierActivityAnalysis']"
"p283; ['BroadcastDomainIsolation', 'NetworkIsolation', 'NetworkTrafficFiltering']"
"p284; ['c:AdditionalTask']"
"p285; ['c:AdditionalTask']"
"p286; ['c:AdditionalTask']"
"p287; ['AssetInventory', 'NetworkMapping', 'c:AdditionalTask']"
"p288; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p28; ['RestoreAccess', 'RestoreNetworkAccess']"
"p290; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p291; ['SenderReputationAnalysis', 'MessageAnalysis']"
"p292; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p293; ['c:AdditionalTask']"
"p294; ['c:AdditionalTask']"
"p295; ['AssetInventory', 'c:AdditionalTask']"
"p296; ['NetworkTrafficFiltering', 'NetworkIsolation']"
"p297; ['FileHashing', 'FileAnalysis']"
"p29; ['RestoreNetworkAccess', 'RestoreAccess']"
"p2; ['NetworkIsolation', 'BroadcastDomainIsolation', 'RestoreNetworkAccess', 'RestoreAccess', 'ProcessTermination', 'ProcessEviction','ProcessSuspension']"
"p300; ['FileIntegrityMonitoring', 'PlatformMonitoring']"
"p301; ['c:SystemTest']"
"p302; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p303; ['c:SystemTest']"
"p304; ['c:SystemTest']"
"p305; ['c:SystemTest']"
"p306; ['c:SystemTest']"
"p307; ['c:SystemTest']"
"p308; ['NetworkTrafficFiltering', 'NetworkIsolation']"
"p30; ['NetworkTrafficFiltering', 'NetworkIsolation']"
"p310; ['c:SystemTest']"
"p311; ['c:SystemTest', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p312; ['c:SystemTest', 'SenderReputationAnalysis', 'MessageAnalysis']"
"p313; ['MessageAnalysis', 'SenderReputationAnalysis', 'FileAnalysis']"
"p314; ['SenderReputationAnalysis', 'MessageAnalysis']"
"p315; ['MessageAnalysis', 'SenderReputationAnalysis', 'FileAnalysis']"
"p316; ['FileAnalysis', 'SenderReputationAnalysis', 'MessageAnalysis']"
"p317; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p318; ['c:SystemTest', 'c:AdditionalTask']"
"p31; ['NetworkIsolation', 'NetworkTrafficFiltering']"
"p320; ['c:SystemTest', 'c:CTI_Input']"
"p321; ['c:SystemTest']"
"p322; ['c:AdditionalTask']"
"p323; ['c:SystemTest']"
"p324; ['c:SystemTest']"
"p325; ['c:SystemTest']"
"p326; ['c:AdditionalTask']"
"p327; ['c:AdditionalTask']"
"p328; ['c:AdditionalTask']"
"p32; ['RestoreNetworkAccess', 'RestoreAccess']"
"p330; ['c:SystemTest']"
"p331; ['c:SystemTest']"
"p332; ['c:SystemTest']"
"p333; ['c:SystemTest']"
"p334; ['c:SystemTest']"
"p335; ['c:SystemTest']"
"p336; ['c:SystemTest']"
"p337; ['c:AdditionalTask']"
"p338; ['c:SystemTest']"
"p33; ['RestoreAccess', 'RestoreNetworkAccess']"
"p340; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p341; ['SenderReputationAnalysis', 'MessageAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p342; ['c:AdditionalTask']"
"p343; ['NetworkTrafficAnalysis']"
"p344; ['NetworkTrafficAnalysis', 'IdentifierActivityAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p345; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'IdentifierActivityAnalysis', 'NetworkTrafficAnalysis']"
"p346; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p347; ['IdentifierActivityAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis', 'NetworkTrafficAnalysis']"
"p348; ['RestoreNetworkAccess', 'RestoreAccess', 'NetworkIsolation', 'NetworkTrafficFiltering']"
"p34; ['RestoreUserAccountAccess', 'RestoreAccess']"
"p350; ['NetworkTrafficFiltering', 'NetworkIsolation']"
"p351; ['c:NotifyingTask']"
"p352; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'NetworkTrafficFiltering', 'NetworkTrafficAnalysis']"
"p353; ['c:AdditionalTask']"
"p354; ['OperationalRiskAssessment', 'OperationalActivityMapping']"
"p355; ['AdministrativeNetworkActivityAnalysis', 'NetworkTrafficAnalysis']"
"p356; ['DatabaseQueryStringAnalysis', 'ProcessAnalysis']"
"p357; ['NetworkTrafficFiltering', 'NetworkIsolation']"
"p358; ['UserBehaviorAnalysis']"
"p35; ['UserBehaviorAnalysis', 'RestoreUserAccountAccess', 'RestoreAccess']"
"p360; ['IdentifierAnalysis', 'URLAnalysis']"
"p361; ['FileHashing', 'FileAnalysis', 'IdentifierActivityAnalysis']"
"p362; ['OperationalRiskAssessment', 'OperationalActivityMapping', 'SystemVulnerabilityAssessment', 'SystemMapping']"
"p363; ['IdentifierActivityAnalysis', 'IdentifierAnalysis', 'FileIntegrityMonitoring', 'PlatformMonitoring']"
"p364; ['FileHashing', 'FileAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p365; ['UserGeolocationLogonPatternAnalysis', 'UserBehaviorAnalysis', 'IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p366; ['OperationalRiskAssessment', 'OperationalActivityMapping']"
"p367; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p368; ['UserBehaviorAnalysis']"
"p36; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p370; ['MessageEncryption', 'MessageHardening', 'SystemMapping', 'DataExchangeMapping']"
"p371; ['AssetInventory', 'AssetVulnerabilityEnumeration', 'SystemMapping', 'SystemVulnerabilityAssessment']"
"p372; ['FileAnalysis', 'MessageAnalysis', 'SenderReputationAnalysis', 'SenderMTAReputationAnalysis', 'IdentifierAnalysis', 'IdentifierActivityAnalysis', 'IdentifierReputationAnalysis']"
"p373; ['c:AdditionalTask']"
"p374; ['URLAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p375; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
