Playbook
"p46; ['c:AdditionalTask']"
"p470; ['DNSDenylisting', 'NetworkIsolation']"
"p471; ['DNSDenylisting', 'NetworkIsolation']"
"p472; ['NetworkTrafficFiltering', 'NetworkIsolation']"
"p473; ['OperatingSystemMonitoring', 'PlatformMonitoring']"
"p474; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p475; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p476; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p477; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p478; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p47; ['c:AdditionalTask']"
"p480; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p481; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p482; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p483; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p484; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p485; ['OperationalRiskAssessment', 'OperationalActivityMapping']"
"p486; ['SystemVulnerabilityAssessment', 'SystemMapping', 'OperationalRiskAssessment', 'OperationalActivityMapping']"
"p487; ['IdentifierActivityAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis', 'ExecutionIsolation', 'NetworkIsolation']"
"p488; ['c:NotifyingTask']"
"p48; ['c:AdditionalTask']"
"p490; ['OperationalActivityMapping', 'OperationalRiskAssessment', 'SystemVulnerabilityAssessment', 'SystemMapping']"
"p491; ['c:NotifyingTask']"
"p492; ['c:NotifyingTask']"
"p493; ['OperationalRiskAssessment', 'OperationalActivityMapping']"
"p494; ['ProcessEviction', 'FileEviction', 'HostShutdown', 'ProcessTermination','ObjectEviction']"
"p495; ['ProcessEviction', 'FileEviction', 'HostShutdown', 'ProcessTermination','ObjectEviction']"
"p496; ['ProcessTermination', 'HostShutdown', 'ProcessEviction', 'OperatingSystemMonitoring', 'PlatformMonitoring']"
"p497; ['PlatformMonitoring', 'OperatingSystemMonitoring', 'ProcessEviction', 'HostShutdown', 'ProcessTermination']"
"p49; ['c:AdditionalTask']"
"p4; ['DNSDenylisting', 'NetworkTrafficFiltering', 'NetworkIsolation']"
"p500; ['PlatformHardening', 'SoftwareUpdate']"
"p501; ['AccountLocking', 'CredentialRevocation','CredentialEviction']"
"p502; ['AccountLocking', 'CredentialEviction', 'RestoreUserAccountAccess', 'RestoreAccess']"
"p503; ['AccountLocking', 'CredentialRevocation', 'RestoreAccess', 'RestoreUserAccountAccess']"
"p504; ['RestoreUserAccountAccess', 'RestoreAccess', 'AccountLocking', 'CredentialEviction']"
"p505; ['RestoreAccess', 'RestoreUserAccountAccess', 'AccountLocking', 'CredentialEviction']"
"p506; ['RestoreUserAccountAccess', 'RestoreAccess']"
"p507; ['CredentialRotation', 'LocalAccountMonitoring', 'UserBehaviorAnalysis', 'CredentialHardening']"
"p508; ['c:CTI_Input', 'AssetVulnerabilityEnumeration', 'AssetInventory', 'SystemVulnerabilityAssessment', 'SystemMapping']"
"p50; ['c:AdditionalTask']"
"p510; ['c:CTI_Input', 'AssetInventory', 'AssetVulnerabilityEnumeration', 'SystemVulnerabilityAssessment', 'SystemMapping']"
"p511; ['c:CTI_Input', 'SystemMapping', 'SystemVulnerabilityAssessment', 'AssetInventory', 'AssetVulnerabilityEnumeration']"
"p512; ['c:CTI_Input', 'AssetInventory', 'AssetVulnerabilityEnumeration']"
"p513; ['c:CTI_Input', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p514; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'c:CTI_Input']"
"p515; ['c:CTI_Input', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p516; ['c:CTI_Input', 'IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p517; ['c:CTI_Input', 'IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p518; ['c:CTI_Input', 'IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p51; ['c:AdditionalTask']"
"p520; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'c:CTI_Input']"
"p521; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'c:CTI_Input']"
"p522; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'c:CTI_Input']"
"p523; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'c:CTI_Input']"
"p524; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'c:CTI_Input']"
"p525; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'c:CTI_Input']"
"p526; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'c:CTI_Input']"
"p527; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'c:CTI_Input']"
"p528; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'c:CTI_Input']"
"p52; ['c:AdditionalTask']"
"p530; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'c:CTI_Input']"
"p531; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'c:CTI_Input']"
"p532; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'c:CTI_Input']"
"p533; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'c:CTI_Input']"
"p534; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'c:CTI_Input']"
"p535; ['ObjectEviction', 'FileEviction', 'NetworkTrafficFiltering', 'NetworkIsolation']"
"p536; ['NetworkIsolation', 'NetworkTrafficFiltering', 'ObjectEviction', 'FileEviction']"
"p537; ['FileEviction', 'NetworkIsolation', 'ObjectEviction', 'NetworkTrafficFiltering']"
"p538; ['DNSTrafficAnalysis', 'NetworkTrafficAnalysis', 'IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p53; ['c:AdditionalTask']"
"p540; ['CredentialRotation', 'CredentialRevocation', 'CredentialHardening', 'CredentialEviction']"
"p541; ['CredentialRotation', 'CredentialRevocation', 'CredentialEviction', 'CredentialHardening']"
"p542; ['c:NotifyingTask']"
"p543; ['OperationalRiskAssessment', 'OperationalActivityMapping', 'AssetVulnerabilityEnumeration', 'AssetInventory']"
"p544; ['UserBehaviorAnalysis', 'UserGeolocationLogonPatternAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p545; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'UserGeolocationLogonPatternAnalysis', 'UserBehaviorAnalysis']"
"p546; ['OperationalRiskAssessment', 'OperationalActivityMapping', 'IdentifierReputationAnalysis', 'IdentifierAnalysis', 'AssetInventory', 'AssetVulnerabilityEnumeration']"
"p547; ['c:NotifyingTask']"
"p548; ['AssetInventory', 'AssetVulnerabilityEnumeration', 'c:CTI_Input', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p54; ['c:AdditionalTask']"
"p550; ['SystemVulnerabilityAssessment', 'OperationalRiskAssessment', 'OperationalActivityMapping', 'SystemMapping']"
"p551; ['NetworkIsolation', 'BroadcastDomainIsolation']"
"p552; ['NetworkIsolation', 'BroadcastDomainIsolation']"
"p553; ['OperatingSystemMonitoring', 'PlatformMonitoring', 'SystemVulnerabilityAssessment', 'SystemMapping']"
"p554; ['SystemMapping', 'SystemVulnerabilityAssessment', 'OperatingSystemMonitoring', 'PlattformMonitoring']"
"p555; ['c:CTI_Input', 'IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p556; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'c:CTI_Input']"
"p557; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'c:CTI_Input']"
"p558; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'c:CTI_Input']"
"p55; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p560; ['AssetInventory', 'SoftwareInventory']"
"p561; ['AssetVulnerabilityEnumeration', 'AssetInventory']"
"p562; ['AssetVulnerabilityEnumeration', 'AssetInventory', 'OperationalRiskAssessment', 'OperationalActivityMapping']"
"p563; ['AssetInventory', 'ConfigurationInventory', 'NetworkNodeInventory', 'SoftwareInventory']"
"p564; ['AssetInventory', 'ConfigurationInventory', 'NetworkNodeInventory', 'SoftwareInventory']"
"p565; ['OperationalRiskAssessment', 'OperationalActivityMapping']"
"p566; ['OperationalRiskAssessment', 'OperationalActivityMapping']"
"p567; ['OperationalRiskAssessment', 'OperationalActivityMapping', 'AssetVulnerabilityEnumeration', 'AssetInventory']"
"p568; ['AssetInventory', 'AssetVulnerabilityEnumeration', 'OperationalRiskAssessment', 'OperationalActivityMapping']"
"p56; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p570; ['AssetVulnerabilityEnumeration', 'AssetInventory', 'OperationalRiskAssessment', 'OperationalActivityMapping']"
"p571; ['AssetInventory', 'AssetVulnerabilityEnumeration', 'OperationalActivityMapping', 'OperationalRiskAssessment']"
"p572; ['ObjectEviction', 'FileEviction', 'FileHashing', 'IdentifierReputationAnalysis', 'IdentifierAnalysis', 'FileAnalysis','ExecutableDenylisting','ExecutionIsolation']"
"p573; ['OperationalRiskAssessment', 'OperationalActivityMapping']"
"p574; ['OperationalActivityMapping', 'OperationalRiskAssessment']"
"p575; ['IdentifierAnalysis']"
"p576; ['IdentifierAnalysis']"
"p577; ['AssetVulnerabilityEnumeration', 'AssetInventory', 'SystemVulnerabilityAssessment', 'SystemMapping']"
"p578; ['NetworkTrafficFiltering', 'NetworkIsolation', 'IdentifierReputationAnalysis', 'IdentifierAnalysis', 'ObjectEviction', 'FileEviction']"
"p57; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'URLAnalysis']"
"p580; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'ObjectEviction', 'FileEviction', 'NetworkTrafficFiltering', 'NetworkIsolation']"
"p581; ['OperationalRiskAssessment', 'OperationalActivityMapping', 'c:IncidentHandlingManagement']"
"p582; ['AssetVulnerabilityEnumeration', 'AssetInventory', 'SystemVulnerabilityAssessment', 'SystemMapping', 'OperationalRiskAssessment', 'OperationalActivityMapping']"
"p583; ['UserBehaviorAnalysis', 'AccountLocking', 'CredentialEviction', 'LocalAccountMonitoring', 'JobFunctionAccessPatternAnalysis']"
"p584; ['FileAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p585; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'IdentifierActivityAnalysis', 'NetworkTrafficFiltering', 'NetworkIsolation', 'ObjectEviction', 'FileEviction']"
"p586; ['FileAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p587; ['FileAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p588; ['FileAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p58; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p590; ['FileAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p591; ['OperationalRiskAssessment', 'OperationalActivityMapping']"
"p592; ['ObjectEviction', 'FileEviction']"
"p593; ['ObjectEviction', 'FileEviction']"
"p594; ['NetworkIsolation', 'BroadcastDomainIsolation']"
"p595; ['BroadcastDomainIsolation', 'NetworkIsolation']"
"p596; ['BroadcastDomainIsolation', 'NetworkIsolation']"
"p597; ['NetworkIsolation', 'BroadcastDomainIsolation']"
"p59; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p5; ['RestoreNetworkAccess', 'RestoreAccess']"
"p600; ['NetworkIsolation', 'BroadcastDomainIsolation']"
"p601; ['NetworkIsolation', 'BroadcastDomainIsolation']"
"p602; ['BroadcastDomainIsolation', 'NetworkIsolation']"
"p603; ['BroadcastDomainIsolation', 'NetworkIsolation']"
"p604; ['BroadcastDomainIsolation', 'NetworkIsolation']"
"p605; ['BroadcastDomainIsolation', 'NetworkIsolation']"
"p606; ['BroadcastDomainIsolation', 'NetworkIsolation', 'RestoreNetworkAccess', 'RestoreAccess']"
"p607; ['RestoreAccess', 'RestoreNetworkAccess', 'NetworkIsolation', 'BroadcastDomainIsolation']"
"p608; ['BroadcastDomainIsolation', 'NetworkIsolation', 'RestoreNetworkAccess', 'RestoreAccess']"
"p60; ['SenderReputationAnalysis', 'MessageAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p610; ['BroadcastDomainIsolation', 'NetworkIsolation', 'RestoreNetworkAccess', 'RestoreAccess']"
"p611; ['RestoreAccess', 'RestoreNetworkAccess', 'BroadcastDomainIsolation', 'NetworkIsolation']"
"p612; ['BroadcastDomainIsolation', 'NetworkIsolation', 'RestoreNetworkAccess', 'RestoreAccess']"
"p613; ['RestoreAccess', 'RestoreNetworkAccess', 'BroadcastDomainIsolation', 'NetworkIsolation']"
"p614; ['OperationalRiskAssessment', 'OperationalActivityMapping', 'SystemVulnerabilityAssessment', 'SystemMapping']"
"p615; ['CredentialRotation', 'AccountLocking', 'CredentialEviction', 'CredentialHardening','RestoreAccess','ReissueCredential']"
"p616; ['CredentialRotation', 'AccountLocking', 'CredentialEviction', 'CredentialHardening','RestoreAccess','ReissueCredential']"
"p617; ['AuthenticationCacheInvalidation', 'CredentialEviction','SessionTermination','ProcessEviction']"
"p618; ['AuthenticationCacheInvalidation', 'CredentialEviction','SessionTermination','ProcessEviction']"
"p61; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p620; ['AssetVulnerabilityEnumeration', 'AssetInventory']"
"p621; ['AssetInventory', 'NetworkTrafficAnalysis']"
"p622; ['AssetVulnerabilityEnumeration', 'AssetInventory']"
"p623; ['AssetVulnerabilityEnumeration', 'AssetInventory']"
"p624; ['MessageAnalysis', 'SenderReputationAnalysis', 'NetworkTrafficFiltering', 'NetworkIsolation', 'DNSDenylisting', 'NetworkIsolation']"
"p625; ['MessageAnalysis', 'SenderReputationAnalysis', 'NetworkTrafficFiltering', 'NetworkIsolation', 'DNSDenylisting', 'NetworkIsolation']"
"p626; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p627; ['UserGeolocationLogonPatternAnalysis', 'UserBehaviorAnalysis', 'JobFunctionAccessPatternAnalysis', 'LocalAccountMonitoring', 'AccountLocking', 'CredentialEviction']"
"p628; ['NetworkTrafficFiltering', 'NetworkIsolation']"
"p62; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p630; ['RestoreUserAccountAccess', 'RestoreAccess']"
"p631; ['RestoreAccess', 'RestoreUserAccountAccess']"
"p632; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p633; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p634; ['c:CTI_Input', 'IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p635; ['AssetInventory', 'AssetVulnerabilityEnumeration', 'SoftwareUpdate', 'PlatformHardening']"
"p636; ['PlatformHardening', 'SoftwareUpdate', 'AssetVulnerabilityEnumeration', 'AssetInventory']"
"p637; ['SystemMapping', 'SystemDependencyMapping', 'OrganizationMapping', 'OperationalActivityMapping']"
"p638; ['OperationalActivityMapping', 'OrganizationMapping', 'AccessModeling', 'OperationalActivityMapping']"
"p63; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'URLAnalysis']"
"p640; ['AccountLocking', 'CredentialEviction']"
"p641; ['CredentialEviction', 'AccountLocking']"
"p642; ['c:AdditionalTask']"
"p643; ['OrganizationMapping', 'OperationalActivityMapping', 'OperationalDependencyMapping', 'AccessModeling']"
"p644; ['CredentialRotation', 'CredentialHardening']"
"p645; ['CredentialRotation', 'CredentialHardening', 'CredentialEviction', 'CredentialRevocation']"
"p646; ['AccountLocking', 'CredentialEviction']"
"p647; ['CredentialEviction', 'AccountLocking','SessionTermination','ProcessEviction']"
"p648; ['OperatingSystemMonitoring', 'PlatformMonitoring']"
"p64; ['c:AdditionalTask']"
"p650; ['c:AdditionalTask']"
"p651; ['c:NotifyingTask']"
"p652; ['c:AdditionalTask']"
"p653; ['CredentialRotation', 'CredentialHardening', 'CredentialRevocation', 'CredentialEviction','ReissueCredential','RestoreAccess']"
"p654; ['AccessModeling', 'OperationalActivityMapping', 'OrganizationMapping']"
"p655; ['c:AdditionalTask']"
"p656; ['RestoreUserAccountAccess', 'RestoreAccess']"
"p657; ['CredentialEviction', 'AccountLocking', 'CredentialHardening', 'UserAccountPermissions']"
"p658; ['SoftwareInventory', 'AssetInventory']"
"p65; ['c:AdditionalTask']"
"p660; ['SoftwareInventory', 'AssetInventory', 'ConfigurationInventory']"
"p661; ['SoftwareInventory', 'AssetInventory']"
"p662; ['ServiceDependencyMapping', 'SystemMapping']"
"p663; ['FirmwareVerification', 'PlatformMonitoring', 'OperatingSystemMonitoring', 'FileAnalysis']"
"p664; ['ProcessEviction', 'ProcessTermination']"
"p665; ['SoftwareInventory', 'AssetInventory']"
"p666; ['SystemConfigurationPermissions', 'PlatformHardening', 'CredentialHardening']"
"p667; ['ProcessEviction', 'ProcessSuspension', 'ProcessTermination']"
"p668; ['ConfigurationInventory', 'AssetInventory']"
"p66; ['c:AdditionalTask']"
"p670; ['SystemDependencyMapping', 'SystemMapping']"
"p671; ['NetworkNodeInventory', 'AssetInventory', 'NetworkTrafficPolicyMapping', 'NetworkMapping']"
"p672; ['ConfigurationInventory', 'NetworkMapping', 'NetworkTrafficPolicyMapping', 'AssetInventory']"
"p673; ['NetworkTrafficAnalysis']"
"p674; ['RestoreDatabase', 'RestoreObject', 'DatabaseQueryStringAnalysis', 'ProcessAnalysis']"
"p675; ['DatabaseQueryStringAnalysis', 'ProcessAnalysis', 'DataInventory', 'AssetInventory']"
"p676; ['AssetInventory', 'DataInventory']"
"p677; ['DatabaseQueryStringAnalysis', 'ProcessAnalysis']"
"p678; ['FileAnalysis', 'FileContentAnalysis']"
"p67; ['c:AdditionalTask']"
"p680; ['RestoreDatabase', 'RestoreObject', 'DataInventory', 'AssetInventory']"
"p681; ['RestoreDatabase', 'RestoreObject']"
"p682; ['c:AdditionalTask']"
"p683; ['c:AdditionalTask']"
"p684; ['c:AdditionalTask']"
"p685; ['FileEviction', 'ObjectEviction', 'RestoreObject', 'RestoreFile']"
"p686; ['RestoreFile', 'RestoreObject']"
"p687; ['RestoreFile', 'RestoreObject']"
"p688; ['FileIntegrityMonitoring', 'PlatformMonitoring']"
"p68; ['SoftwareUpdate', 'PlatformHardening']"
"p690; ['FileIntegrityMonitoring', 'PlatformMonitoring']"
"p691; ['FileIntegrityMonitoring', 'PlatformMonitoring']"
"p692; ['OperatingSystemMonitoring', 'PlattformMonitoring']"
"p693; ['c:AdditionalTask']"
"p694; ['c:AdditionalTask']"
"p695; ['c:AdditionalTask']"
"p696; ['FileEviction', 'ObjectEviction']"
"p697; ['c:AdditionalTask']"
"p69; ['ProcessAnalysis', 'AssetInventory', 'SoftwareInventory']"
"p6; ['RestoreAccess', 'RestoreNetworkAccess']"
"p700; ['c:AdditionalTask']"
"p701; ['c:AdditionalTask']"
"p702; ['FileIntegrityMonitoring', 'PlattformMonitoring']"
"p703; ['c:AdditionalTask']"
"p704; ['FileIntegrityMonitoring', 'PlattformMonitoring']"
"p705; ['c:AdditionalTask']"
"p706; ['c:AdditionalTask']"
"p707; ['c:AdditionalTask']"
"p708; ['c:AdditionalTask']"
"p70; ['c:IncidentHandlingManagement']"
"p710; ['FileEviction', 'ObjectEviction']"
"p711; ['FileEviction', 'ObjectEviction','RestoreFile','RestoreObject','SessionTermination','ProcessEviction']"
"p712; ['RestoreFile', 'RestoreObject']"
"p713; ['c:AdditionalTask']"
"p714; ['c:IncidentHandlingManagement']"
"p715; ['c:IncidentHandlingManagement']"
"p716; ['c:NotifyingTask']"
"p717; ['c:IncidentHandlingManagement']"
"p718; ['c:IncidentHandlingManagement']"
"p71; ['c:IncidentHandlingManagement']"
"p720; ['c:IncidentHandlingManagement']"
"p721; ['c:NotifyingTask']"
"p722; ['c:NotifyingTask']"
"p723; ['c:AdditionalTask']"
"p724; ['RestoreDiskImage', 'RestoreObject']"
"p725; ['RestoreObject', 'RestoreDiskImage']"
"p726; ['c:AdditionalTask']"
"p727; ['c:AdditionalTask']"
"p728; ['DataExchangeMapping', 'SystemMapping', 'AccessModeling', 'OperationalActivityMapping']"
"p72; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p730; ['DomainAccountMonitoring', 'UserBehaviorAnalysis', 'AdministrativeNetworkActivityAnalysis', 'NetworkTrafficAnalysis']"
"p731; ['DomainTrustPolicy', 'CredentialHardening', 'SystemConfigurationPermissions', 'PlatformHardening']"
"p732; ['AuthenticationEventThresholding', 'UserBehaviorAnalysis']"
"p733; ['SystemConfigurationPermissions', 'UserAccountPermissions', 'CredentialHardening', 'DomainTrustPolicy', 'PlatformHardening', 'ExecutableDenylisting', 'ExecutionIsolation']"
"p734; ['CredentialCompromiseScopeAnalysis', 'UserBehaviorAnalysis', 'LocalAccountMonitoring']"
"p735; ['FileAnalysis']"
"p736; ['ProcessAnalysis']"
"p737; ['FileAnalysis', 'PlatformMonitoring']"
"p738; ['NetworkTrafficAnalysis']"
"p73; ['c:AdditionalTask']"
"p740; ['NetworkTrafficAnalysis']"
"p741; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p742; ['c:AdditionalTask']"
"p743; ['c:AdditionalTask']"
"p744; ['SoftwareInventory', 'AssetInventory']"
"p745; ['OperatingSystemMonitoring', 'PlatformMonitoring', 'ProcessAnalysis']"
"p746; ['FileEviction', 'ObjectEviction']"
"p747; ['OperatingSystemMonitoring', 'PlattformMonitoring', 'PlatformMonitoring']"
"p748; ['PlatformMonitoring', 'OperatingSystemMonitoring']"
"p74; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p750; ['OperatingSystemMonitoring', 'PlatformMonitoring']"
"p751; ['PlatformMonitoring', 'OperatingSystemMonitoring']"
"p752; ['OperatingSystemMonitoring', 'PlatformMonitoring']"
"p753; ['c:AdditionalTask', 'HostShutdown', 'ProcessEviction','RestoreDatabase','RestoreObject']"
"p754; ['c:AdditionalTask']"
"p755; ['HostShutdown', 'ProcessEviction','RestoreNetworkAccess','RestoreAccess']"
"p756; ['ProcessEviction', 'HostShutdown']"
"p757; ['HostShutdown', 'ProcessEviction', 'RestoreAccess','RestoreNetworkAccess']"
"p758; ['ProcessEviction', 'HostShutdown','ProcessSuspension']"
"p75; ['c:IncidentScoring']"
"p760; ['ServiceDependencyMapping', 'SystemMapping', 'ConfigurationInventory', 'SoftwareInventory', 'AssetInventory']"
"p761; ['RestoreDiskImage', 'RestoreConfiguration', 'RestoreObject']"
"p762; ['ConfigurationInventory', 'SystemDependencyMapping', 'SystemMapping', 'AssetInventory']"
"p763; ['SystemDependencyMapping', 'ConfigurationInventory', 'AssetInventory', 'SystemMapping']"
"p764; ['AssetInventory', 'ConfigurationInventory', 'SystemDependencyMapping', 'SystemMapping']"
"p765; ['ObjectEviction', 'FileEviction', 'HostShutdown', 'ProcessEviction']"
"p766; ['ObjectEviction', 'FileEviction', 'HostShutdown', 'ProcessEviction']"
"p767; ['RestoreDiskImage', 'RestoreConfiguration', 'RestoreObject']"
"p768; ['RestoreObject', 'RestoreConfiguration', 'RestoreDiskImage']"
"p76; ['c:IncidentScoring']"
"p770; ['SoftwareInventory', 'AssetInventory']"
"p771; ['PlatformMonitoring', 'FileIntegrityMonitoring', 'RestoreObject', 'RestoreFile', 'RestoreDatabase']"
"p772; ['IdentifierAnalysis', 'URLAnalysis', 'OperatingSystemMonitoring', 'PlattformMonitoring']"
"p773; ['URLAnalysis', 'IdentifierAnalysis']"
"p774; ['c:AdditionalTask']"
"p775; ['ProcessAnalysis']"
"p776; ['c:AdditionalTask']"
"p777; ['c:AdditionalTask']"
"p778; ['ProcessAnalysis']"
"p77; ['c:IncidentScoring']"
"p780; ['ProcessAnalysis', 'RestoreObject']"
"p781; ['NetworkTrafficAnalysis', 'URLAnalysis', 'IdentifierAnalysis']"
"p782; ['OperatingSystemMonitoring', 'PlatformMonitoring']"
"p783; ['PlatformMonitoring', 'OperatingSystemMonitoring']"
"p784; ['RestoreUserAccountAccess', 'RestoreAccess']"
"p785; ['c:AdditionalTask']"
"p786; ['NetworkTrafficFiltering', 'NetworkIsolation']"
"p787; ['NetworkTrafficFiltering', 'NetworkIsolation', 'SenderReputationAnalysis', 'MessageAnalysis']"
"p788; ['NetworkTrafficFiltering', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p78; ['AssetInventory', 'HardwareComponentInventory', 'NetworkNodeInventory']"
"p790; ['c:AdditionalTask']"
"p791; ['MessageAnalysis']"
"p792; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'FileHashing', 'FileAnalysis']"
"p793; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p794; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p795; ['c:AdditionalTask']"
"p796; ['NetworkTrafficFiltering', 'NetworkIsolation']"
"p797; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p79; ['c:AdditionalTask']"
"p7; ['NetworkTrafficFiltering', 'NetworkIsolation']"
"p800; ['c:AdditionalTask']"
"p801; ['c:AdditionalTask']"
"p802; ['c:AdditionalTask']"
"p803; ['c:AdditionalTask']"
"p804; ['UserBehaviorAnalysis', 'JobFunctionAccessPatternAnalysis']"
"p805; ['JobFunctionAccessPatternAnalysis', 'UserBehaviorAnalysis']"
"p806; ['SenderReputationAnalysis', 'MessageAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis', 'ObjectEviction', 'FileEviction']"
"p807; ['CertificateAnalysis', 'NetworkTrafficAnalysis', 'IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p808; ['CredentialRevocation', 'AccountLocking', 'CredentialEviction', 'CredentialHardening', 'CredentialRotation', 'StrongPasswordPolicy', 'RestoreAccess', 'ReissueCredential']"
"p80; ['c:AdditionalTask']"
"p810; ['c:NotifyingTask']"
"p811; ['c:NotifyingTask']"
"p812; ['AccountLocking', 'CredentialEviction']"
"p813; ['UserBehaviorAnalysis', 'LocalAccountMonitoring']"
"p814; ['AccessModeling', 'OperationalActivityMapping']"
"p815; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'ExecutableDenylisting', 'NetworkTrafficFiltering', 'NetworkIsolation', 'ExecutionIsolation']"
"p816; ['UserBehaviorAnalysis', 'NetworkTrafficAnalysis']"
"p817; ['IdentifierReputationAnalysis', 'IdentifierActivityAnalysis', 'IdentifierAnalysis', 'ExecutionIsolation', 'NetworkIsolation']"
"p818; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'IdentifierActivityAnalysis', 'AccountLocking', 'CredentialRevocation', 'CredentialEviction', 'CredentialRotation', 'CredentialHardening','ReissueCredential','RestoreAccess']"
"p81; ['c:AdditionalTask']"
"p820; ['c:NotifyingTask']"
"p821; ['IdentifierAnalysis', 'IdentifierActivityAnalysis', 'FileAnalysis', 'FileAccessPatternAnalysis', 'ProcessSpawnAnalysis', 'ProcessAnalysis', 'ObjectEviction', 'FileEviction']"
"p822; ['NetworkTrafficFiltering', 'NetworkIsolation']"
"p823; ['NetworkIsolation', 'NetworkTrafficFiltering']"
"p824; ['ObjectEviction', 'FileEviction', 'FileContentAnalysis', 'FileAnalysis']"
"p825; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p826; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'DNSTrafficAnalysis', 'NetworkTrafficAnalysis', 'NetworkTrafficAnalysis']"
"p827; ['DNSDenylisting', 'NetworkIsolation']"
"p828; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p82; ['c:AdditionalTask']"
"p830; ['BroadcastDomainIsolation', 'NetworkIsolation']"
